image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.917011,bus,van,False
drive_022,2,3,0.860503,car,car,True
drive_022,3,1,0.903148,car,car,True
drive_022,4,4,0.750075,van,car,False
drive_022,5,5,0.862948,truck,bus,False
drive_033,1,1,0.986444,bus,van,False
drive_033,2,2,0.846521,truck,bus,False
drive_033,3,3,0.92184,car,car,True
drive_033,4,4,0.763492,car,car,True
drive_033,5,7,0.839284,car,car,True
drive_033,6,8,0.829501,car,car,True
drive_033,7,10,0.743351,car,car,True
drive_033,8,12,0.92571,bus,van,False
drive_033,9,11,0.874269,car,car,True
drive_033,10,6,0.802175,car,car,True
drive_033,13,5,0.881544,car,car,True
drive_033,22,9,0.850807,car,car,True
drive_038,1,5,0.881657,truck,bus,False
drive_038,2,2,0.940532,car,car,True
drive_038,3,3,0.964295,car,car,True
drive_038,4,4,0.945182,car,car,True
drive_038,5,1,0.940678,car,car,True
drive_038,6,16,0.90445,car,car,True
drive_038,7,17,0.930413,car,car,True
drive_038,8,15,0.877369,van,truck,False
drive_038,9,9,0.943576,truck,bus,False
drive_038,10,14,0.899829,car,car,True
drive_038,11,8,0.853699,car,car,True
drive_038,12,7,0.790969,car,car,True
drive_038,13,6,0.80095,car,car,True
drive_038,14,13,0.911456,car,car,True
drive_038,15,11,0.774545,car,car,True
drive_038,16,12,0.676722,car,car,True
drive_008,1,16,0.938662,car,car,True
drive_008,2,11,0.938373,car,car,True
drive_008,3,4,0.941101,car,car,True
drive_008,4,6,0.917098,car,car,True
drive_008,5,2,0.905677,car,car,True
drive_008,17,15,0.661424,car,car,True
drive_008,18,14,0.870799,car,car,True
drive_008,19,13,0.782908,car,car,True
drive_008,20,7,0.81621,car,car,True
drive_008,22,9,0.970913,bus,van,False
drive_008,23,1,0.812059,truck,bus,False
drive_008,24,3,0.918697,van,truck,False
drive_008,25,5,0.82557,van,truck,False
